PERMNO,date,TICKER,COMNAM,VOL,RET,vwretd,vwretx
11850,2016-10-31,XOM,EXXON MOBIL CORP,1920409,-0.045371,-0.021544,-0.022789
11850,2016-11-30,XOM,EXXON MOBIL CORP,2331549,0.056769,0.040488,0.038040
11850,2016-12-30,XOM,EXXON MOBIL CORP,2204357,0.033906,0.018763,0.016625
11850,2017-01-31,XOM,EXXON MOBIL CORP,2525146,-0.070574,0.022153,0.021130
11850,2017-02-28,XOM,EXXON MOBIL CORP,2373452,-0.021695,0.032598,0.030496
11850,2017-03-31,XOM,EXXON MOBIL CORP,3155886,0.008485,0.002062,0.000191
11850,2017-04-28,XOM,EXXON MOBIL CORP,1926245,-0.004390,0.009655,0.008535
11850,2017-05-31,XOM,EXXON MOBIL CORP,2202502,-0.004654,0.009335,0.006983
11850,2017-06-30,XOM,EXXON MOBIL CORP,3038368,0.002857,0.009571,0.007690
11850,2017-07-31,XOM,EXXON MOBIL CORP,2013337,-0.008547,0.020277,0.018893
11850,2017-08-31,XOM,EXXON MOBIL CORP,2244131,-0.036732,0.001600,-0.000638
11850,2017-09-29,XOM,EXXON MOBIL CORP,2162492,0.074021,0.023729,0.022122
11850,2017-10-31,XOM,EXXON MOBIL CORP,1724083,0.016711,0.019275,0.018190
11850,2017-11-30,XOM,EXXON MOBIL CORP,1918105,0.008518,0.027231,0.024905
11850,2017-12-29,XOM,EXXON MOBIL CORP,2206013,0.004202,0.012122,0.010264
11850,2018-01-31,XOM,EXXON MOBIL CORP,2339446,0.043759,0.050577,0.049625
11850,2018-02-28,XOM,EXXON MOBIL CORP,3694148,-0.123597,-0.039455,-0.041323
11850,2018-03-29,XOM,EXXON MOBIL CORP,3567411,-0.014919,-0.018421,-0.020288
11850,2018-04-30,XOM,EXXON MOBIL CORP,2861128,0.042086,0.004679,0.003570
11850,2018-05-31,XOM,EXXON MOBIL CORP,2993379,0.055434,0.026146,0.023849
11850,2018-06-29,XOM,EXXON MOBIL CORP,2578314,0.018341,0.005359,0.003576
11850,2018-07-31,XOM,EXXON MOBIL CORP,2046945,-0.014747,0.031573,0.030436
11850,2018-08-31,XOM,EXXON MOBIL CORP,2150741,-0.006380,0.030233,0.027765
11850,2018-09-28,XOM,EXXON MOBIL CORP,2270241,0.060496,0.000425,-0.001212
11850,2018-10-31,XOM,EXXON MOBIL CORP,3059109,-0.062809,-0.074045,-0.075113
11850,2018-11-30,XOM,EXXON MOBIL CORP,2870820,0.008032,0.018512,0.016171
11850,2018-12-31,XOM,EXXON MOBIL CORP,3806468,-0.142264,-0.089890,-0.092124
